,Airport: Name,lat,long
41,LONG BEACH-DAUGH FLD,33.8167909,-118.1513589
42,JOHN WAYNE AIRPORT,33.6761901,-117.8674759
43,BUSH FLD,33.3703042,-81.9649232
44,METRO OAKLAND INTL,37.7125689,-122.2197428
45,RONALD REAGAN WASHINGTON NATL,38.851242,-77.04023149999999
46,DALLAS/FORT WORTH INTL ARPT,32.8998091,-97.0403352
47,LAGUARDIA NY,40.7769271,-73.8739659
48,DICKINSON-THEODORE ROOSEVELT RGNL,46.80166639999999,-102.7928843
49,MEMPHIS INTL,35.0420679,-89.9791729
50,SEATTLE-TACOMA INTL,47.4502499,-122.3088165
51,ADDISON,32.96179,-96.82916850000001
52,TUCSON INTL,32.1145102,-110.9392269
53,PORTLAND INTL (OR),45.58976939999999,-122.5950942
54,EGLIN AFB/NW FLORIDA REGIONAL ARPT,30.49545509999999,-86.54984639999999
55,ABRAHAM LINCOLN CAPITAL ARPT,39.8439165,-89.6783951
56,INDIANAPOLIS INTL,39.7168593,-86.2955952
57,GRAND JUNCTION REGIONAL ARPT,39.1222307,-108.5291468
58,AUSTIN-BERGSTROM INTL,30.19747109999999,-97.66635289999999
59,BURKE LAKEFRONT,41.5115689,-81.6899155
60,PHOENIX SKY HARBOR,33.4372686,-112.0077881
61,VAN NUYS ARPT,34.2096399,-118.4896448
62,LIHUE ARPT,21.9788489,-159.3437585
63,TOKYO INTL,35.5493932,139.7798386
64,SALT LAKE CITY INTL,40.7479999,-111.9846664
65,HONOLULU INTL ARPT,21.3245132,-157.9250736
66,LAFAYETTE REGIONAL (LA),30.205482,-91.9894188
67,TETERBORO AIRPORT,40.858332,-74.0615292
68,RICHARD LLOYD JONES JR ARPT,36.0378532,-95.99094389999999
69,RALEIGH-DURHAM INTL,35.88007899999999,-78.7879963
70,MYRTLE BEACH INTL,33.6822019,-78.92789429999999
71,CHICAGO O'HARE INTL ARPT,41.9741625,-87.9073214
72,PALM BEACH INTL,26.6857475,-80.0928165
73,WILEY POST-WILL ROGERS MEM,47.5002836,-122.2185276
74,MANILA-NINOY AQUINO INTL,14.5122739,121.016508
75,MOBILE REGIONAL,30.692512,-88.24549359999999
76,MINETA SAN JOSE INTL,37.3639472,-121.9289375
77,LAMBERT-ST LOUIS INTL,38.7499403,-90.374819
78,KALAELOA ARPT JOHN RODGERS FIELD,21.3099461,-158.0709457
79,OXNARD ARPT,34.1985056,-119.2065106
80,KANSAS CITY INTL,39.2978369,-94.7159384
81,HUNTINGBURG ARPT,38.2473711,-86.9520577
82,THEODORE FRANCIS GREEN STATE,41.7245271,-71.4304062
83,CHARLOTTE/DOUGLAS INTL ARPT,35.2144026,-80.9473146
84,GRAHAM MUNICIPAL ARPT,33.1120832,-98.5585967
85,DAYTONA BEACH INTL,29.1832134,-81.0532273
86,COLUMBIA METRO,33.941917,-81.1220015
87,SANTA BARBARA MUNICIPAL,34.43615,-119.738606
88,EL SALVADOR INTL,13.4448368,-89.0570527
89,KAPALUA ARPT,20.9622111,-156.6754194
90,MOLOKAI ARPT,21.1535674,-157.0963276
91,TULSA INTL,36.198778,-95.88386589999999
92,KEY FLD,25.0273356,-81.5357506
93,MIAMI INTL,25.7958723,-80.2870509
94,SHEPPARD AIR FORCE BASE,33.9685715,-98.510735
95,MEADOWS FIELD ARPT,35.4335053,-119.05622
96,CORPUS CHRISTI INTL ARPT,27.7724235,-97.5021829
97,AIRBORNE AIRPARK,39.4319998,-83.7856706
98,MC CLELLAN AIRFIELD,38.6594179,-121.3955482
99,GEORGE BUSH INTERCONTINENTAL,29.9902199,-95.3367827
100,PANAMA CITY - BAY COUNTY INTL,30.3548543,-85.7995134
101,GRANT COUNTY ARPT,32.63238260000001,-108.1542125
102,RICHMOND INTL,37.5065795,-77.3208112
103,DUBOIS REGIONAL ARPT,41.1824283,-78.8923472
104,CHENNAULT INTL ARPT,30.2163924,-93.1505869
105,CLARK INTL,41.2473719,-96.0282203
106,BLUE GRASS ARPT,38.03776149999999,-84.6026083
107,DALLAS LOVE FIELD ARPT,32.8481029,-96.8512063
108,NORTHAMPTON ARPT,42.3296526,-72.6140144
109,FRANCIS S GABRESKI ARPT,40.8435248,-72.64154959999999
110,COLLIN COUNTY RGNL ARPT AT MCKINNEY,33.1775756,-96.5925224
111,FAIRMONT MUNI-FRANKMAN FLD,39.4480468,-80.1669294
112,PUEBLO MEMORIAL ARPT,38.2859398,-104.4953346
113,PUERTO VALLARTA,20.653407,-105.2253316
114,CHICAGO MIDWAY INTL ARPT,41.78677589999999,-87.7521884
115,LAURENCE G HANSCOM,42.46810809999999,-71.2877395
116,MCCARREN INTL,36.086905,-115.136464
117,WESTCHESTER COUNTY ARPT,41.0683325,-73.7086641
118,AMARILLO INTL,35.2203245,-101.7074509
119,HOUSTON-HOBBY,29.6459077,-95.27690539999999
120,BOEING FIELD K C INT,47.5281657,-122.3018264
121,SARASOTA-BRADENTON,27.3364347,-82.53065269999999
122,KONA INTL ARPT,19.736916,-156.0429246
123,ORLANDO SANFORD INTL AIRPORT,28.7759419,-81.2342888
124,LUBBOCK INTL,33.6565685,-101.8222599
125,GREATER PITTSBURGH,40.3565093,-79.9192702
126,MURRAY FIELD AIRPORT,40.8043969,-124.1202585
127,NEWPORT NEWS/WILLIAMSBURG INTL,37.1307716,-76.4939006
128,DAVID WAYNE HOOKS MEMORIAL ARPT,30.0701768,-95.5511629
129,NASHVILLE INTL,36.126317,-86.67737129999999
130,MINNEAPOLIS-ST PAUL INTL,44.8847554,-93.2222846
131,CHANGI INTL (SINGAPORE),1.3644202,103.9915308
132,LAKE CHARLES REGIONAL,30.1229972,-93.2211183
133,BRANDYWINE ARPT,39.9897194,-75.579071
134,PALM SPRINGS INTL,33.8303194,-116.5070468
135,MAHLON SWEET FLD,44.1217811,-123.2159003
136,AKRON-CANTON MUNICIPAL,41.0791274,-81.51826609999999
137,PORT COLUMBUS INTL,39.9999399,-82.8871767
138,LINCOLN MUNICIPAL,40.813616,-96.7025955
139,CYRIL E KING ARPT,18.3360608,-64.9722726
140,DES MOINES INTL,41.535095,-93.647171
141,ATLANTA INTL,33.6407282,-84.4277001
142,LOGAN INTL,42.3656132,-71.0095602
143,EXECUTIVE ARPT,32.6806895,-96.8671846
144,ST. PETERSBURG/CLEARWATER INTL,27.9098674,-82.68885709999999
145,HILO INTL ARPT,19.7188342,-155.0416866
146,JAMES M COX DAYTON INTL,39.90252419999999,-84.2217719
147,BOB HOPE ARPT,34.1983122,-118.3574036
148,PEASE INTL TRADEPORT,43.0802589,-70.8211285
149,GILA BEND MUNICIPAL,32.9478236,-112.7168305
150,HATTIESBURG-LAUREL,31.468239,-89.335421
151,SKYHAVEN,38.7849835,-93.8026324
152,GROTON-NEW LONDON AR,41.3300875,-72.0466745
153,COLUMBIA REGIONAL,38.8155232,-92.2193772
154,CHINO AIRPORT,33.9751601,-117.6352509
155,DILLINGHAM AIRFIELD,21.57963,-158.2104421
156,DEKALB-PEACHTREE ARPT,33.8749586,-84.30281629999999
157,REDSTONE ARMY AIRFIELD,34.6784974,-86.6846425
158,BILLINGS LOGAN INTL,45.80350809999999,-108.5379142
159,BIRMINGHAM-SHUTTLESWORTH INTL,33.5624269,-86.754126
160,ANDERSON MUNI-DARLINGTON FLD,40.1096425,-85.6141715
161,LONG ISLAND MAC ARTHUR,40.7956189,-73.09880249999999
162,YEAGER ARPT,38.3714489,-81.5934922
163,GAINESVILLE REG ARPT,29.6516344,-82.32482619999999
164,NAPA COUNTY ARPT,38.2172561,-122.2730219
165,SAN ANTONIO INTL,29.5311973,-98.4683484
166,ROSWELL INTL AIR CENTER,33.3024615,-104.5257536
167,WILL ROGERS WORLD ARPT,35.393056,-97.600556
168,LANAI ARPT,20.7905864,-156.9498596
169,BUCKLEY ANGB ARPT,39.7239832,-104.7835399
170,BRADLEY INTL,41.9388735,-72.68603139999999
171,FORT SMITH MUNICIPAL ARPT,35.3371854,-94.3643069
172,NEWARK LIBERTY INTL ARPT,40.6895314,-74.1744624
173,RAPID CITY REGIONAL,44.0383798,-103.0605163
174,EASTERWOOD FIELD AIRPORT,30.5936801,-96.36660529999999
175,LOVELL FIELD ARPT,35.0374486,-85.19701119999999
176,MATHIS FIELD (TX),31.35728569999999,-100.5028459
177,MONROE REGIONAL ARPT,32.51023110000001,-92.0436229
178,CAPITAL CITY ARPT (PA),40.2177006,-76.85060969999999
179,GREATER ROCKFORD,42.2233514,-89.0007108
180,MCGHEE TYSON ARPT,35.810833,-83.993889
181,TED STEVENS ANCHORAGE INTL,61.17588629999999,-149.9900792
182,HERNANDO COUNTY,28.5578826,-82.4752757
183,LOS ALAMITOS ARMY AIRFIELD,33.7910224,-118.0533501
184,FOX STEPHENS FIELD-GILMER MUNI ARPT,32.7001568,-94.9466331
185,MONMOUTH EXECUTIVE ARPT,40.1807259,-74.12166599999999
186,COLD BAY ARPT,55.2007141,-162.7164155
187,RENO TAHOE INTL,39.4995907,-119.7680951
188,KUALA LUMPUR INTL,2.7423553,101.7062448
189,LOUISVILLE INTL ARPT,38.175662,-85.7369231
190,WILEY POST ARPT,35.5307445,-97.6430208
191,LUIS MUNOZ MARIN INTL -SAN JUAN,18.4372835,-66.0041299
192,SITKA ROCKY GUTIERREZ ARPT,57.05277169999999,-135.3651952
193,PUERTO PLATA INTL,19.7915656,-70.6929573
194,SACRAMENTO MATHER ARPT,38.5636592,-121.297211
195,JOE FOSS FIELD ARPT,43.5828065,-96.7402171
196,MBS INTL,43.5386272,-84.0821024
197,KENDALL-TAMIAMI EXECUTIVE ARPT,25.649151,-80.4291937
198,LEHIGH VALLEY INTL,40.6516457,-75.4440963
199,FLAGSTAFF PULLIAM,35.1403862,-111.668953
200,HEATHROW - LONDON,51.4700223,-0.4542955
201,GOLDEN TRIANGLE REGIONAL,33.4516041,-88.587603
202,OGDEN-HINCKLEY ARPT,41.1934018,-112.0088619
203,GREENBRIER VALLEY ARPT,37.856284,-80.404748
204,GARDEN CITY REGIONAL,37.9268913,-100.7198703
205,WINONA MUNICIPAL ARPT,44.0745196,-91.7070409
206,CHARLES DE GAULLE,49.0138601,2.5425225
207,SUNDANCE AIRPARK,35.601503,-97.70693059999999
208,ADAMS FIELD ARPT,34.7307049,-92.2216531
209,GERALD R FORD INTL,42.8846633,-85.5248434
210,YAMPA VALLEY,40.4847488,-107.2197265
211,COLOGNE-BONN,50.8707168,7.140734399999999
212,VENICE MUNICIPAL AIRPORT,27.0732113,-82.4405867
213,MCNARY FLD ARPT,44.9078414,-123.0018514
214,JACKSONVILLE INTL,30.49407129999999,-81.6879368
215,BISHOP INTL FLINT,42.967653,-83.7438188
216,MARTIN STATE ARPT,39.32833530000001,-76.4236353
217,YOUNGSTOWN-WARREN RGNL ARPT,41.2574658,-80.6671886
218,JACKSON HOLE,43.4799291,-110.7624282
219,JACKSON EVERS INTL,32.3122283,-90.0764217
220,REID-HILLVIEW ARPT OF SANTA CLARA CNTY,37.3360175,-121.8198199
221,COZUMEL MEXICO,20.5071703,-86.9446237
222,HONG KONG INTL,22.308047,113.9184808
223,"GUADALAJARA, MEXICO",20.6596988,-103.3496092
224,MCCLELLAN-PALOMAR,33.1268216,-117.2792408
225,MOBILE DOWNTOWN ARPT,30.6370652,-88.0788295
226,BUCHANAN FLD,37.9902157,-122.0561317
227,HARRISBURG INTL,40.2604293,-76.8789929
228,ALBANY INTL,44.8866745,-76.2358615
229,SOUTH BEND REGIONAL,41.7077166,-86.315843
230,GREATER BINGHAMTON ARPT,42.208651,-75.9813976
231,EASTERN WEST VIRGINIA REGIONAL ARPT,39.4027418,-77.982974
232,FORBES FIELD AIRPORT,38.9483444,-95.6664279
233,ATLANTIC CITY INTL,39.4515696,-74.57388499999999
234,DADE-COLLIER TRAINING & TRANSITION ARPT,25.8637999,-80.8979128
235,CECIL ARPT,30.22136,-81.88070499999999
236,REDDING MUNICIPAL,40.5058184,-122.2996775
237,MINERAL WELLS ARPT,32.78208970000001,-98.06095119999999
238,AUSTIN STRAUBEL INTL,44.4923396,-88.12775409999999
239,TERRE HAUTE INTL ARPT-HULMAN FIELD,39.45602909999999,-87.3018072
240,SPRINGFIELD-BRANSON NATIONAL,37.2385714,-93.3970097
241,TUPELO MUNICIPAL,34.258386,-88.706026
242,NORFOLK NAVAL STATION,36.9485239,-76.3084258
243,DAVIS MONTHAN AIR FORCE BASE,32.1675525,-110.8592578
244,SPOKANE INTERNATIONAL,47.62174779999999,-117.534812
245,DUPAGE AIRPORT,41.9067614,-88.25490789999999
246,VERO BEACH MUNICIPAL,27.6386434,-80.39727359999999
247,BANGOR INTL,44.808176,-68.8165035
248,EVANSVILLE REGIONAL,38.0433641,-87.52717539999999
249,FRESNO YOSEMITE INTL,36.7758493,-119.7181083
250,WICHITA MID-CONTINENT ARPT,37.6508529,-97.42869879999999
251,FREDERICK MUNICIPAL ARPT,39.4161991,-77.3792758
252,ALBUQUERQUE INTL,35.0433333,-106.6129085
253,KASTRUP AIRPORT,55.6180236,12.6507628
254,GOGEBIC COUNTY,46.4392785,-89.92147399999999
255,WAUKEGAN REGIONAL ARPT,42.416305,-87.868192
256,REPUBLIC AIRPORT,40.7261266,-73.4167921
257,BURLINGTON INTL,44.4706939,-73.1516037
258,BUFFALO-NIAGARA INTL,42.9397059,-78.7295067
259,GENERAL MITCHELL INTL,42.9475534,-87.89664599999999
260,OWEN ROBERTS INTL,19.2931436,-81.3585033
261,VOLK FIELD ARPT,43.9269182,-90.2630214
262,FIUMICINO ARPT,41.7998868,12.2462384
263,HERLONG AIRPORT,30.28055,-81.809465
264,KEY WEST INTL ARPT,24.5536707,-81.7549737
265,ABERDEEN REGIONAL AR,45.4530258,-98.4184341
266,ROANOKE REGIONAL,37.320398,-79.9701915
267,CROOKSTON MUNI ARPT-KIRKWOOD FIELD,47.8411865,-96.61846159999999
268,TACOMA NARROWS ARPT,47.2678293,-122.577424
269,CENTRAL NEBRASKA REGIONAL,40.9693717,-98.31856529999999
270,DON MUEANG INTL ARPT  (OLD BANGKOK),13.9132602,100.6041987
271,TOLEDO EXPRESS ARPT,41.5878083,-83.80914109999999
272,THE FLORIDA KEYS MARATHON,24.726026,-81.0446262
273,UNIV OF ILLINOIS -WILLARD ARPT,40.03649619999999,-88.26398789999999
274,WHITE COUNTY ARPT,40.7099722,-86.7663073
275,SAN PEDRO SULA LA MESA,15.4643537,-87.9215163
276,LENAWEE COUNTY ARPT,41.8736915,-84.0744934
277,HOMER ARPT,59.643151,-151.4928655
278,QUANTICO MCAF/TURNER FIELD,38.501667,-77.3055569
279,MONTGOMERY REGIONAL ARPT,32.3050713,-86.3906353
280,GRAND FORKS INTL,47.942861,-97.176582
281,ERNEST A LOVE FIELD,34.6498173,-112.427239
282,TEXARKANA-WEBB FIELD,33.4569623,-93.9955847
283,MIDLAND INTL,31.9417386,-102.2047497
284,VANCOUVER INTL,49.1966913,-123.1815123
285,PENSACOLA REGIONAL,30.4738158,-87.1867049
286,DECATUR ARPT,39.8331255,-88.8773767
287,LAKEFRONT AIRPORT,30.0385136,-90.0264057
288,VALENCIA AIRPORT,39.4892327,-0.4780256
289,JUAN SANTAMARIA INTL,9.9980013,-84.20406419999999
290,MADRID-BARAJAS,40.4983322,-3.5675982
291,ACADIANA REGIONAL ARPT,30.0333232,-91.8767395
292,MANCHESTER AIRPORT,42.929687,-71.4352177
293,GREATER PEORIA REGIONAL ARPT,40.6655468,-89.6955242
294,NW ARKANSAS REGIONAL,36.2786587,-94.30429400000001
295,MC ALLEN MILLER INTL,26.1780926,-98.24103629999999
296,IGOR I SIKORSKY MEMORIAL,41.1642101,-73.12466719999999
297,WILMINGTON INTL,34.2668931,-77.91052010000001
298,IDAHO FALLS REGIONAL ARPT,43.5152294,-112.0678843
299,CANCUN INTL,21.0417033,-86.8740062
300,FORT WORTH ALLIANCE,32.9875102,-97.3138822
301,SHREVEPORT REGIONAL,32.4544911,-93.8286552
302,VALLEY INTL,26.2239757,-97.6618501
303,FULTON COUNTY ARPT - BROWN FIELD,33.7762621,-84.52209870000002
304,BETHEL ARPT,60.77972200000001,-161.8377779
305,PORT-AU-PRINCE INTL,18.5759244,-72.2946381
306,PALMYRA (COOPER) AIRPORT,5.8885026,-162.0786656
307,MOUNT AIRY/SURRY COUNTY ARPT,36.45599,-80.55402699999999
308,AMSTERDAM SCHIPHOL,52.3105386,4.7682744
309,LEESBURG EXECUTIVE ARPT,39.0782543,-77.5543742
310,FRIEDMAN MEMORIAL,43.5066901,-114.2992901
311,PU DONG INTL ARPT,31.1443439,121.808273
312,THE EASTERN IOWA ARPT,41.8863861,-91.70697539999999
313,PIEDMONT TRIAD INTL,36.1043671,-79.9351805
314,SANTA MARIA PUBLIC,34.9486761,-120.4357617
315,PHOENIX-MESA GATEWAY,33.307161,-111.668946
316,CAMARILLO,34.2163937,-119.0376023
317,SYRACUSE HANCOCK INTL,43.1139301,-76.1101888
318,ST AUGUSTINE,29.9012437,-81.31243409999999
319,SOEKARNO-HATTA,-6.1275282,106.6537058
320,DUBAI INTL,25.2531745,55.3656728
321,GENERAL ESCOBEDO INTL,25.7778185,-100.1079853
322,UNALASKA ARPT,53.8983407,-166.5442157
323,MILANO MALPENSA,45.6300625,8.7255307
324,TORONTO/LESTER B. PEARSON INTL,43.6775875,-79.6360912
325,ROCKY MOUNTAIN METROPOLITAN ARPT,39.9097481,-105.1118714
326,ROSECRANS MEMORIAL ARPT,39.7694636,-94.9015905
327,BROWNWOOD MUNICIPAL ARPT,31.7949779,-98.95557389999999
328,KODIAK AIRPORT,57.7543254,-152.516958
329,MORRISTOWN MUNICIPAL ARPT,40.7975621,-74.4157549
330,SOUTHWEST GEORGIA REGIONAL ARPT,31.53567109999999,-84.19390489999999
331,MERLE K (MUDHOLE) SMITH ARPT,60.4943809,-145.4721527
332,SOUTH VALLEY REGIONAL ARPT,40.6213,-111.9923019
333,TRI-STATE MILTON FERGUSON,38.3693378,-82.5557309
334,MANCHESTER ENGLAND,53.4807593,-2.2426305
335,TAIBEI INTL,25.0796514,121.234217
336,MERRILL FIELD ARPT,61.215917,-149.8419311
337,FAYETTVILLE MUNICIPAL,35.0526641,-78.87835849999999
338,ROGUE VALLEY INTL,42.3734162,-122.8732825
339,HAGERSTOWN REGIONAL,39.7053895,-77.73100180000002
340,ROCHESTER INTL,43.911265,-92.4968842
341,NIAGARA FALLS INTL,43.1085782,-78.94711439999999
342,SHANNON INTL,52.6996573,-8.914691099999999
343,QUAD CITY ARPT,41.4496341,-90.50827059999999
344,CLARE MUNICIPAL ARPT,43.8339831,-84.7459641
345,KICKAPOO DOWNTOWN ARPT,33.8646818,-98.49180869999999
346,LEBANON MUNICIPAL ARPT,43.6249449,-72.3086409
347,LAKE HOOD (SPB),61.1808216,-149.9710199
348,CLINTON COUNTY ARPT,39.502259,-83.86353299999999
349,BOWMAN FIELD,38.2289185,-85.66539980000002
350,LAKE HOOD STRIP ARPT,61.1808216,-149.9710199
351,,33.791638,-84.389488
352,MADISONVILLE MUNICIPAL,37.3296752,-87.498899
353,PORTLAND INTL JETPORT (ME),43.6464785,-70.30969739999999
354,HARTFORD-BRAINARD ARPT,41.7374398,-72.64859659999999
355,WATERBURY-OXFORD ARPT,41.4806021,-73.13643569999999
356,BISMARCK MUNICIPAL ARPT,46.77518999999999,-100.7572447
357,SANTA ROSA ROUTE 66,34.9447255,-104.6727276
358,ELLINGTON FIELD ARPT,29.6038999,-95.17625869999999
359,LAGO VISTA-RUSY ALLEN,30.4973979,-97.96916279999999
360,MONTREAL INTL (MIRABEL),45.6701862,-74.0324134
361,GULFPORT BILOXI REGIONAL,30.4131137,-89.0727778
362,NADI INTL,-17.7534138,177.4506825
363,CORPUS CHRISTI NAS/TRUAX FIELD,27.6935475,-97.2891138
364,PALMDALE REGIONAL ARPT,34.6274989,-118.0832977
365,MEMORIAL FIELD,36.3766878,-94.1899323
366,NEW CASTLE COUNTY,39.5392979,-75.667356
367,KALAMAZOO/BATTLE CREEK INTL,42.2355515,-85.5515933
368,COLUMBUS METRO,39.9611027,-82.9895592
369,MASSEY RANCH AIRPARK,28.979687,-80.92561239999999
370,DUBUQUE REGIONAL ARPT,42.3972121,-90.7057047
371,ASPEN-PITKIN CO/SARD,39.2196304,-106.8643335
372,PORTLAND-HILLSBORO ARPT,45.5329479,-122.9479571
373,SALISBURY-WICOMICO,38.3606736,-75.5993692
374,JEFFERSON CITY MEMORIAL ARPT,38.5929229,-92.1652111
375,ROBT J MILLER AIR PARK,39.9257646,-74.2939871
376,TALLAHASSEE REGIONAL,30.3953418,-84.34507459999999
377,HECTOR INTERNATIONAL,46.9198612,-96.8255648
378,CINCINNATI MUNI ARPT-LUNKEN FIELD,39.1037667,-84.4293278
379,DAYTON-WRIGHT BROTHERS ARPT,39.59345980000001,-84.2280854
380,MANSFIELD LAHM MUNICIPAL,40.8191147,-82.51386880000001
381,SANGSTER INTL,18.502229,-77.9145169
382,LYNDEN PINDLING INTL ARPT,25.0439288,-77.4655212
383,CHARLES B WHEELER DOWNTOWN ARPT,39.121108,-94.590007
384,FORT WAYNE INTL,40.9828674,-85.18844229999999
385,POLLOCK MUNICIPAL,31.5257321,-92.4070823
386,SANTIAGO CIBAO INTL,19.4021334,-70.6019073
387,KENAI MUNICIPAL ARPT,60.56501,-151.2467651
388,LA CROSSE MUNICIPAL AIRPORT,43.8753591,-91.2634558
389,EAST HAMPTON ARPT,40.9609915,-72.2480167
390,KLAMATH FALLS INTL,42.16520269999999,-121.7463436
391,YAKIMA AIR TERMINAL,46.5699453,-120.539849
392,PETER O KNIGHT ARPT,27.9143302,-82.4501646
393,BUTLER COUNTY REGIONAL,39.3638831,-84.5254611
394,BOLTON FIELD ARPT,39.9049819,-83.13773619999999
395,SANTO DOMINGO/LAS AM,18.4695537,-69.8114674
396,EL PASO INTL ARPT,31.8053354,-106.3824345
397,SUBIC BAY INTL,14.795332,120.282933
398,CHERRY CAPITAL ARPT,44.7369137,-85.5796208
399,FRANKFURT MAIN,50.1109221,8.6821267
400,MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL,45.46568509999999,-73.7454814
401,QUONSET STATE ARPT,41.594019,-71.413434
402,MISSOULA INTL ARPT,46.918785,-114.0837478
403,BOERNE STAGE FIELD,29.723887,-98.6946337
404,LA AURORA,29.6512722,-82.3790144
405,FAIRBANKS INTL ARPT,64.8164163,-147.8635168
406,MALMO-STURUP ARPT,55.5355336,13.372383
407,WILLIAMSON COUNTY REGIONAL,30.6167815,-97.6555393
408,SAWYER INTL,46.3497439,-87.3873273
409,ZAMPERINI FIELD ARPT,33.8014667,-118.3417501
410,BARCELONA ARPT,41.297445,2.0832941
411,TRI-CITIES REGIONAL TN/VA ARPT,36.48167310000001,-82.4077169
412,GREENVILLE-SPARTANBURG INTL,34.8959008,-82.2172338
413,GARY CHICAGO INTL,41.6177844,-87.4083934
414,TSTC WACO,31.6372348,-97.0836783
415,GEORGETOWN COUNTY ARPT,33.3132797,-79.318757
416,WACO REGIONAL ARPT,31.6135823,-97.22629420000001
417,ERIE INTL,42.0839613,-80.17216959999999
418,ST. PAUL DOWNTOWN ARPT,44.9334686,-93.0601241
419,BATON ROUGE METRO,30.53243609999999,-91.15817419999999
420,KARLUK ARPT,57.5659308,-154.4539469
421,AEROACRES ARPT,27.3427377,-80.518766
422,OWENSBORO-DAVIESS,37.7719074,-87.1111676
423,RAMONA ARPT,33.0409315,-116.9115525
424,MUSKEGON COUNTY ARPT,43.16455209999999,-86.2380001
425,GALLATIN FIELD ARPT,45.7771073,-111.1532346
426,PALM BEACH COUNTY PARK ARPT,26.5929714,-80.0856189
427,CROSS CITY ARPT,29.6311473,-83.1085891
428,TONCONTIN INTL,14.0607174,-87.2192567
429,VENANGO REGIONAL,41.377691,-79.860193
430,WATERTOWN INTL ARPT,43.9956627,-76.022365
431,ESSEX COUNTY AIRPORT,40.874877,-74.2805248
432,ASHEVILLE REGIONAL ARPT,35.4348962,-82.53785409999999
433,ST LOUIS DOWNTOWN,38.6266074,-90.19165009999999
434,SNOHOMISH CO (PAINE FIELD),47.9075768,-122.2808529
435,FLORENCE REGIONAL,34.1931906,-79.7281922
436,PURDUE UNIV ARPT,40.4162519,-86.9309621
437,SOUTHWEST WASHINGTON REGIONAL ARPT,46.1191715,-122.8971657
438,LINDEN AIRPORT,40.6157109,-74.243417
439,RIVERSIDE MUNICIPAL ARPT,33.9505435,-117.4459301
440,CHESTER COUNTY G O CARLSON ARPT,39.9800817,-75.86281129999999
441,READING REGIONAL,40.3741541,-75.9641686
442,HAWKINS FIELD ARPT,32.334457,-90.222168
443,WATERLOO REGIONAL ARPT,42.5552262,-92.3979652
444,L F WADE INTL ARPT,32.359829,-64.7020333
445,MINOT INTL AIRPORT,48.25567119999999,-101.2882265
446,GREATER ROCHESTER INTL,43.1225229,-77.66657219999999
447,PHOENIX DEER VALLEY ARPT,33.6843241,-112.082851
448,ISLESBORO,44.29388549999999,-68.9085778
449,NASA SHUTTLE LANDING FACILITY,28.6144578,-80.694108
450,RICKENBACKER INTL,39.8173811,-82.9358462
451,BLOCK ISLAND STATE,41.169273,-71.5801455
452,PULLMAN-MOSCOW REGIONAL,46.7441801,-117.1141262
